Date,TemperatureHighC,TemperatureAvgC,TemperatureLowC,DewpointHighC,DewpointAvgC,DewpointLowC,HumidityHigh,HumidityAvg,HumidityLow,PressureMaxhPa,PressureMinhPa,WindSpeedMaxKMH,WindSpeedAvgKMH,GustSpeedMaxKMH,PrecipitationSumCM
                
2019-01-01,9.22222222222,6.8900259345,0.388888888889,8.0,4.88162133488,-0.5,96.0,87.1420910494,75.0,1039.59661378,1031.14084699,9.67573376,2.25629532089,18.36261504,0.0
2019-01-02,5.11111111111,2.99841820988,-0.5,1.72222222222,0.356043320106,-1.22222222222,96.0,82.9881448413,69.0,1042.56427744,1039.2437082,9.36638208,2.06152895143,11.15275392,0.0
2019-01-03,3.77777777778,2.41618457568,-0.722222222222,-0.111111111111,-1.7987138837,-2.77777777778,87.0,73.9460901027,65.0,1041.91412244,1040.31554672,5.437973376,0.494866611966,7.19376768,0.0
2019-01-04,2.38888888889,-0.194701092969,-5.38888888889,0.277777777778,-2.0224523209,-5.72222222222,99.0,87.7477499004,78.0,1041.69280259,1038.15955829,4.11992064,0.492511178323,8.99623296,0.0
2019-01-05,4.61111111111,3.4477494856,2.38888888889,2.61111111111,1.36968664266,0.111111111111,90.0,86.200308642,81.0,1038.50165857,1034.66691084,3.56201472,0.590846559111,8.99623296,0.0
2019-01-06,9.22222222222,6.29103540242,4.11111111111,6.72222222222,4.50673420226,2.38888888889,94.0,88.3211382114,82.0,1035.3385142,1033.25282696,4.49811648,0.699135669073,12.9552192,0.0
2019-01-07,10.6111111111,8.50658292325,6.38888888889,8.61111111111,6.44981654148,2.72222222222,92.0,86.9339160839,72.0,1034.8930597,1024.54151651,15.7983936,2.67980472615,27.358848,0.0
2019-01-08,8.22222222222,5.50549864285,1.61111111111,3.72222222222,2.32578364416,0.0,91.0,80.1381402679,68.0,1027.91555392,1024.33055705,13.50239616,6.12093445583,25.55638272,0.0
2019-01-09,4.88888888889,2.38392489712,-0.277777777778,1.38888888889,-0.177203360768,-1.61111111111,92.0,83.3266589506,74.0,1029.67933006,1026.85763111,20.268078336,8.56095073289,31.31783424,0.0
2019-01-10,6.88888888889,2.51086676955,-1.5,5.88888888889,1.18291752401,-2.27777777778,96.0,90.9199459877,83.0,1029.7569616,1027.09160427,7.20270848,1.79318299111,14.75768448,0.0
2019-01-11,8.0,6.30879415295,5.11111111111,5.27777777778,4.20520833333,3.38888888889,92.0,86.3682484568,78.0,1029.13778312,1026.03263996,8.999451648,2.65120238533,14.75768448,0.0254
2019-01-12,10.2777777778,8.02627928282,6.27777777778,7.27777777778,5.6668128081,3.77777777778,95.0,85.0823714174,79.0,1026.03672652,1015.29547387,11.807756928,2.75170906821,31.31783424,0.1016
2019-01-13,11.0,9.78027951661,8.11111111111,7.88888888889,6.15670752913,2.38888888889,87.0,78.2407668232,63.0,1015.9794821,1008.42809575,16.449105024,5.81010458321,34.9227648,0.0
2019-01-14,8.5,6.20176910002,0.777777777778,4.5,2.9458310968,-0.388888888889,94.0,79.8448872786,71.0,1021.05873362,1012.33257018,14.75768448,3.66644974284,21.9675456,0.0
2019-01-15,9.11111111111,5.70600077429,0.111111111111,6.61111111111,4.07113175894,-0.888888888889,95.0,89.306387921,82.0,1020.79259387,1009.23619823,5.867668224,2.50023459546,14.75768448,0.0
2019-01-16,9.38888888889,6.29249330916,2.0,7.72222222222,4.96865017698,1.38888888889,97.0,91.302020202,83.0,1009.57823515,997.886261526,12.15769984,3.55249283499,21.9675456,0.254
2019-01-17,4.11111111111,1.50474747475,-1.72222222222,2.77777777778,-1.63199102132,-3.88888888889,97.0,80.4704242424,58.0,1017.09740852,1000.15372007,26.7151104,4.43510789888,47.877984,0.0762
2019-01-18,5.22222222222,1.44090470679,-3.38888888889,0.611111111111,-1.85330182613,-4.38888888889,94.0,79.2090181327,66.0,1017.14482801,1008.70800271,6.337596672,1.99824008389,18.36261504,0.0
2019-01-19,4.61111111111,3.36629172382,2.0,2.77777777778,1.23251486054,-0.611111111111,92.0,85.9834567901,77.0,1009.77974972,1005.24019781,8.64217728,4.18857936119,21.9675456,0.0508
2019-01-20,2.0,-2.08390272456,-4.22222222222,0.5,-2.68181140911,-4.61111111111,97.0,95.7767241379,90.0,1015.76752176,1009.4417976,1.23919488,0.0841807150345,3.60493056,0.0
 
 
 
 
 
 
 
 
 
 
 

    

